nameWithOwner,createdAt,stargazerCount,commitCount
JakeWharton/u2020,2013-11-14T11:58:23Z,5681,0
LSPosed/LSPatch,2021-03-01T19:38:36Z,5661,38
gephi/gephi,2011-10-22T03:14:46Z,5655,623
amitshekhariitbhu/Fast-Android-Networking,2016-03-21T18:35:44Z,5648,1
auth0/java-jwt,2014-03-07T15:06:11Z,5641,22
daimajia/AndroidImageSlider,2014-06-02T06:04:17Z,5640,0
journeyapps/zxing-android-embedded,2012-11-28T16:36:39Z,5629,0
PojavLauncherTeam/PojavLauncher,2020-03-11T03:22:54Z,5625,1102
amlcurran/ShowcaseView,2012-08-14T19:07:36Z,5595,0
gz-yami/mall4cloud,2021-08-04T03:04:36Z,5593,81
hanks-zyh/HTextView,2015-12-19T16:34:59Z,5593,0
hongyangAndroid/FlowLayout,2015-08-28T09:32:31Z,5585,0
nhaarman/ListViewAnimations,2013-03-19T11:59:23Z,5571,0
alipay/SoloPi,2019-03-14T15:32:49Z,5569,0
crazycodeboy/react-native-splash-screen,2016-09-14T10:43:55Z,5557,0
yanzhenjie/SwipeRecyclerView,2016-08-03T15:43:34Z,5555,0
wasabeef/Blurry,2015-07-23T14:12:08Z,5538,0
Col-E/Recaf,2017-07-27T06:01:10Z,5510,7
sockeqwe/mosby,2015-03-25T00:59:19Z,5495,0
AriaLyy/Aria,2016-02-19T02:16:07Z,5493,0
alibaba/freeline,2016-08-03T17:22:52Z,5487,0
LandGrey/SpringBootVulExploit,2020-05-20T09:18:44Z,5470,0
facebookarchive/rebound,2013-10-11T01:12:37Z,5434,0
apache/iceberg,2018-11-19T16:26:46Z,5424,1810
TommyLemon/Android-ZBLibrary,2015-08-20T16:03:53Z,5417,8
apache/dubbo-spring-boot-project,2018-01-18T12:10:50Z,5400,1
wuhaoyu1990/MagicCamera,2016-01-08T11:36:56Z,5392,0
google/google-java-format,2015-05-11T20:38:28Z,5390,90
jgilfelt/SystemBarTint,2013-11-17T12:35:05Z,5366,0
danikula/AndroidVideoCache,2015-04-01T11:25:52Z,5349,1
XRecyclerView/XRecyclerView,2015-11-18T08:14:22Z,5335,0
commonsguy/cw-omnibus,2012-03-12T14:12:06Z,5334,0
baidu/uid-generator,2017-03-27T04:03:43Z,5330,0
evant/gradle-retrolambda,2013-08-05T02:09:58Z,5310,0
h6ah4i/android-advancedrecyclerview,2015-01-24T16:14:39Z,5307,0
apache/hive,2009-05-21T02:31:01Z,5299,700
facebookarchive/shimmer-android,2015-02-27T22:25:22Z,5287,0
WeiYe-Jing/datax-web,2019-11-19T01:09:05Z,5286,0
apache/camel,2009-05-21T00:25:36Z,5283,7819
ElderDrivers/EdXposed,2019-01-18T16:18:19Z,5273,0
yixia/VitamioBundle,2012-10-19T08:40:49Z,5270,0
getActivity/XXPermissions,2018-06-15T14:31:29Z,5262,23
socketio/socket.io-client-java,2013-04-28T17:04:05Z,5255,1
xxv/android-lifecycle,2014-04-18T14:26:22Z,5250,0
thinkaurelius/titan,2012-02-25T22:53:53Z,5243,0
lucasr/twoway-view,2013-01-18T20:55:23Z,5231,0
Yalantis/Side-Menu.Android,2015-01-13T11:11:27Z,5229,0
mybatis/generator,2013-02-10T11:14:50Z,5225,436
youtube/api-samples,2013-12-09T18:41:41Z,5207,0
WuKongOpenSource/WukongCRM-11.0-JAVA,2021-04-06T10:58:55Z,5204,0
apache/flink-cdc,2020-07-27T19:23:33Z,5169,397
Jasonchenlijian/FastBle,2016-08-23T02:06:33Z,5164,0
ZHENFENG13/spring-boot-projects,2017-04-01T01:50:14Z,5145,3
obsidiandynamics/kafdrop,2019-05-27T08:46:56Z,5143,103
opengoofy/hippo4j,2021-06-16T02:59:48Z,5131,300
CoderLeixiaoshuai/java-eight-part,2020-10-16T16:27:04Z,5123,0
careercup/ctci,2013-03-21T23:01:01Z,5119,0
razerdp/BasePopup,2016-01-15T03:31:07Z,5110,2
apache/pinot,2014-05-19T23:27:48Z,5094,1588
hustcc/JS-Sorting-Algorithm,2017-01-19T11:36:21Z,5092,0
apache/hbase,2014-05-23T07:00:07Z,5091,510
huangyanbin/smartTable,2017-11-08T01:11:14Z,5086,0
JanusGraph/janusgraph,2016-12-26T13:26:29Z,5069,366
CodingDocs/springboot-guide,2018-11-28T01:05:07Z,5045,0
spring-projects/spring-data-examples,2014-01-30T15:42:43Z,5045,30
apache/hudi,2016-12-14T15:53:41Z,5016,1545
TeamAmaze/AmazeFileManager,2014-07-14T19:47:53Z,5013,488
Trinea/android-common,2012-06-19T07:49:46Z,5012,4
orhanobut/dialogplus,2014-12-12T09:24:44Z,5003,0
spring-attic/spring-mvc-showcase,2011-06-03T15:36:55Z,4998,0
frogermcs/InstaMaterial,2014-11-10T18:56:49Z,4997,0
yipianfengye/android-zxingLibrary,2016-07-26T08:00:18Z,4995,0
android/views-widgets-samples,2019-09-06T21:39:12Z,4990,2
rubensousa/GravitySnapHelper,2016-08-31T07:25:23Z,4987,0
meefik/linuxdeploy,2012-08-21T04:49:14Z,4987,0
coobird/thumbnailator,2015-07-25T05:38:33Z,4976,11
JodaOrg/joda-time,2011-05-16T16:49:57Z,4970,27
amitshekhariitbhu/RxJava2-Android-Samples,2016-08-27T08:21:37Z,4963,1
OpenTSDB/opentsdb,2010-08-27T02:05:20Z,4941,7
JSQLParser/JSqlParser,2011-06-23T22:51:52Z,4916,332
deathmarine/Luyten,2013-07-11T10:57:28Z,4904,0
Ramotion/folding-cell-android,2016-04-01T11:38:47Z,4887,0
