nameWithOwner,primaryLanguage
eligrey/FileSaver.js,JavaScript
wesm/pydata-book,Jupyter Notebook
quii/learn-go-with-tests,Go
iperov/DeepFaceLive,Python
futurice/ios-good-practices,
daniulive/SmarterStreaming,Java
styleguidist/react-styleguidist,TypeScript
NVlabs/stylegan2,Python
inversify/InversifyJS,TypeScript
kefranabg/readme-md-generator,JavaScript
lucidrains/DALLE2-pytorch,Python
YiiGuxing/TranslationPlugin,Kotlin
restify/node-restify,JavaScript
h2o/h2o,C
hmemcpy/milewski-ctfp-pdf,TeX
heynickc/awesome-ddd,
piskelapp/piskel,JavaScript
THUDM/ChatGLM3,Python
Dod-o/Statistical-Learning-Method_Code,Python
alexeymezenin/laravel-best-practices,
qazbnm456/awesome-web-security,
jeasonlzy/okhttp-OkGo,Java
squizlabs/PHP_CodeSniffer,PHP
drduh/YubiKey-Guide,Nix
thx/RAP,JavaScript
apereo/cas,Java
go-admin-team/go-admin,Go
pwxcoo/chinese-xinhua,Python
tmux-plugins/tmux-resurrect,Shell
VictoriaMetrics/VictoriaMetrics,Go
mockery/mockery,PHP
microsoft/language-server-protocol,HTML
Alinshans/MyTinySTL,C++
vipstone/faceai,Python
vercel/micro,TypeScript
WenchaoD/FSCalendar,Objective-C
vueComponent/ant-design-vue-pro,Vue
socketio/socket.io-client,TypeScript
cryptomator/cryptomator,Java
altstoreio/AltStore,Swift
JStumpp/awesome-android,
logaretm/vee-validate,TypeScript
lipangit/JiaoZiVideoPlayer,Java
asciimoo/wuzz,Go
yygmind/blog,
AppIntro/AppIntro,Kotlin
chimurai/http-proxy-middleware,TypeScript
mas-cli/mas,Swift
ory/kratos,Go
graphdeco-inria/gaussian-splatting,Python
kubeshark/kubeshark,Go
signalapp/Signal-iOS,Swift
gleitz/howdoi,Python
cesanta/mongoose,C
gcanti/fp-ts,TypeScript
ninja-build/ninja,C++
typestack/class-validator,TypeScript
codota/TabNine,Shell
OpenRefine/OpenRefine,Java
leecade/react-native-swiper,JavaScript
reduxjs/redux-toolkit,TypeScript
esimov/caire,Go
