nameWithOwner,createdAt,stargazerCount,commitCount
lihangleo2/ShadowLayout,2019-07-09T07:17:06Z,3295,28
fabric8io/kubernetes-client,2015-07-09T15:43:13Z,3280,856
apache/logging-log4j2,2013-06-12T07:00:19Z,3259,1197
eleme/UETool,2018-05-16T08:13:17Z,3256,0
java-aodeng/hope-boot,2018-10-17T07:50:48Z,3254,0
gouthampradhan/leetcode,2017-03-09T10:30:30Z,3247,0
fesh0r/fernflower,2014-10-03T05:00:15Z,3241,39
tangqi92/Android-Tips,2015-09-10T09:01:47Z,3237,0
ragunathjawahar/android-saripaar,2012-09-08T11:52:30Z,3231,0
jfinal/jfinal,2012-04-25T08:48:48Z,3230,10
Aliucord/Aliucord,2021-02-27T16:59:06Z,3217,53
guoguibing/librec,2014-01-09T16:06:11Z,3216,0
bluelinelabs/LoganSquare,2015-02-17T03:24:12Z,3213,0
daimajia/AndroidViewHover,2014-08-08T12:04:43Z,3208,0
bilibili/boxing,2017-01-22T07:04:34Z,3193,0
LinShunKang/MyPerf4J,2018-03-11T09:58:44Z,3189,18
amulyakhare/TextDrawable,2014-10-19T09:56:45Z,3163,0
rom1v/sndcpy,2020-06-09T19:36:57Z,3147,2
WinterChenS/my-site,2018-05-03T09:05:37Z,3145,23
hongyangAndroid/Highlight,2015-10-08T15:03:40Z,3143,0
OpenHFT/Chronicle-Queue,2013-06-02T15:11:33Z,3140,314
angryip/ipscan,2011-06-28T20:58:48Z,3839,15
rovo89/XposedInstaller,2012-04-02T20:33:05Z,3833,0
MiguelCatalan/MaterialSearchView,2015-09-14T17:13:46Z,3824,0
linyiqun/DataMiningAlgorithm,2015-01-11T02:50:28Z,3807,0
deepjavalibrary/djl,2019-10-29T22:38:54Z,3799,422
lzyzsd/CircleProgress,2014-10-30T16:14:42Z,3794,0
JavaNoober/BackgroundLibrary,2018-09-09T08:52:45Z,3786,2
roboguice/roboguice,2012-08-12T20:37:19Z,3775,0
lygttpod/SuperTextView,2016-10-19T04:06:54Z,3766,0
sunfusheng/MarqueeView,2016-06-01T06:50:46Z,3759,0
knowm/XChange,2012-02-02T10:48:28Z,3751,194
timehop/sticky-headers-recyclerview,2014-10-03T01:57:46Z,3742,0
jetty/jetty.project,2011-07-14T01:11:57Z,3737,2504
mpusher/mpush,2016-04-28T01:43:19Z,3727,0
willowtreeapps/spruce-android,2017-02-23T20:34:18Z,3714,0
Ereza/CustomActivityOnCrash,2014-07-04T19:46:21Z,3706,0
wendux/DSBridge-Android,2017-01-02T11:58:53Z,3705,0
ryanhoo/StylishMusicPlayer,2016-09-13T14:38:32Z,3695,0
CameraKit/blurkit-android,2016-11-06T03:14:58Z,3695,0
yangfuhai/ASimpleCache,2013-07-28T13:50:59Z,3682,0
fishercoder1534/Leetcode,2016-07-31T05:28:15Z,3680,184
jMonkeyEngine/jmonkeyengine,2014-03-20T22:29:28Z,3673,230
awaitility/awaitility,2010-01-22T15:12:52Z,3669,19
oddfar/campus-imaotai,2023-07-07T10:37:13Z,3666,68
vaticle/typedb,2016-07-11T23:59:57Z,3659,328
